,Securities,Average price,Total trading volume,Continuous trading volume,Off-exchange trading volume,Auction trading volume
0,AAL.OQ,49.8706895834076,266076653,96167289,148937092,20972272
1,AAPL.OQ,167.12688059970654,1603594765,723412680,741930756,138251329
2,ABBV.N,94.1519721825735,316394838,161801766,106526957,48066115
3,ABT.N,55.401818200786046,352267144,189554364,110278379,52434401
4,ACN.N,144.87788435288675,112860852,55952449,40416668,16491735
5,ADBE.OQ,171.99396193938122,176371196,66563497,92019776,17787923
6,AGN.N,179.84380415281566,223264218,130234876,80650912,12378430
7,AIG.N,61.430184665032705,293885656,158613102,102432332,32840222
8,AMAT.OQ,54.183916912158395,667476380,260457725,352960822,54057833
9,AMD.OQ,11.70040638580677,3148029002,1648119867,1394809123,105100012
10,AMGN.OQ,176.97607368874452,166059961,55283330,86859785,23916846
11,AMZN.OQ,1100.1614815714547,211876936,93285065,106012214,12579657
12,APC.N,49.175483436375885,352050608,204516327,119736635,27797646
13,ARNC.N,25.365508474486667,221058789,118088315,70969917,32000557
14,ATVI.OQ,63.19179752879018,357429876,127596575,200888913,28944388
15,AXP.N,95.26543635942039,198300452,97318235,71798808,29183409
16,BA.N,271.10850336886506,187721960,97624736,66978017,23119207
17,BAC.N,27.577781112461363,4136603508,2517711447,1292855757,326036304
18,BMY.N,62.59813465983857,322063635,171575564,106753527,43734544
19,BSX.N,27.554060091249852,480611551,290003685,148480596,42127270
20,C.N,74.02885187396502,968546946,540986905,330838174,96721867
21,CAG.N,35.56062598827056,194950956,105455669,70908101,18587186
22,CBS.N,57.4981177693401,450517157,323160247,95003715,32353195
23,CELG.OQ,112.48439349474242,482100457,185729900,256928926,39441631
24,CFG.N,39.16607707149009,283088598,141856097,113211364,28021137
25,CHK.N,3.906562819334987,1541759992,1067175124,415956350,58628518
26,CMCSA.OQ,37.58758416172658,1547544525,628446132,768958496,150139897
27,COF.N,91.27536545079917,130486717,65850327,49288885,15347505
28,COG.N,27.425088030754708,304674059,165277869,115093762,24302428
29,COP.N,51.46532797008985,362172095,188278064,127044829,46849202
30,COST.OQ,172.5585348156015,201449241,78888964,105008077,17552200
31,CSCO.OQ,35.73938956577988,1155415062,410743818,571441138,173230106
32,CSX.OQ,53.10505533191484,443995158,177284719,227363509,39346930
33,CTL.N,16.891789287607892,1018105342,629516107,290325426,98263809
34,CVS.N,72.71003669955618,587425312,351443468,188957290,47024554
35,CVX.N,118.63365947926074,314645596,157242168,98908248,58495180
36,DAL.N,52.308390033733104,410577704,235952145,140085231,34540328
37,DHI.N,46.621943530375404,240494394,133517969,87866024,19110401
38,DIS.N,103.15187181154955,499768112,282525580,158372910,58869622
39,DVN.N,37.85190949607567,287047796,168981086,93075282,24991428
40,DWDP.N,71.15264925076708,440448319,247712745,126128678,66606896
41,EBAY.OQ,37.10574809864227,545375410,200534876,296588353,48252181
42,EFX.N,112.2939820336376,103767841,58693968,37075533,7998340
43,EMR.N,64.85644488526648,212202572,114077952,73186012,24938608
44,EXC.N,40.26611166381568,303938242,167290834,99403194,37244214
45,F.N,12.30875515298146,2129575474,1289044714,646068236,194462524
46,FB.OQ,176.7971629864981,960908165,450587873,442954197,67366095
47,FCX.N,15.144070287275127,1048555701,646038798,324282702,78234201
48,FE.N,32.472707557819284,245651872,133409858,85212051,27029963
49,FITB.OQ,29.20677225823695,327973805,108668972,184182961,35121872
50,FL.N,37.38797974209842,278811365,157336415,98533932,22941018
51,FOX.OQ,29.3410308318278,238699313,63021619,159131744,16545950
52,FOXA.OQ,30.005695926853157,736354281,297849919,394434280,44070082
53,GE.N,19.92909302777433,4789829958,3258589001,1192089492,339151465
54,GGP.N,22.249666558626885,491019048,304218969,146994444,39805635
55,GILD.OQ,75.9667872144004,489011983,189199709,236135312,63676962
56,GIS.N,54.073785002588785,243536196,131215505,83931023,28389668
57,GLW.N,31.495440145744602,318430742,176997342,99534341,41899059
58,GM.N,43.43622496494882,840689129,486728452,262414325,91546352
59,GOOGL.OQ,1032.2031391968585,92060689,35230650,47810611,9019428
60,GPS.N,29.85599389311623,334494941,184465294,117986752,32042895
